Date;GoodID;GoodName;GoodParent;RetailPrice;UnitOfMeasurement;Department;Quantity;SumOfSale;Cost
2020-02-12;BI-00000017;SC Еклер Банан Маракуйя;SC Еклери;49,00;шт;Підрозділ SHOco (Сахарова);10,00;453,99;77,74
2020-02-12;BI-00000017;SC Еклер Банан Маракуйя;SC Еклери;49,00;шт;Підрозділ SHOco (Курбаса);9,00;441,00;69,97
2020-02-12;BI-00000017;SC Еклер Банан Маракуйя;SC Еклери;49,00;шт;Підрозділ SHOco (Кульпарківська);2,00;98,00;85,52
2020-02-12;BI-00000018;SC Еклер Ваніль;SC Еклери;45,00;шт;Підрозділ SHOco (Сахарова);14,00;512,13;105,17
2020-02-12;BI-00000018;SC Еклер Ваніль;SC Еклери;45,00;шт;Підрозділ SHOco (Курбаса);6,00;270,00;45,08
2020-02-12;BI-00000018;SC Еклер Ваніль;SC Еклери;45,00;шт;Підрозділ SHOco (Кульпарківська);5,00;225,00;90,16
2020-02-12;BI-00000019;SC Еклер Груша;SC Еклери;45,00;шт;Підрозділ SHOco (Сахарова);8,00;347,13;107,99
2020-02-12;BI-00000019;SC Еклер Груша;SC Еклери;45,00;шт;Підрозділ SHOco (Курбаса);8,00;360,00;107,99
2020-02-12;BI-00000019;SC Еклер Груша;SC Еклери;45,00;шт;Підрозділ SHOco (Кульпарківська);4,00;180,00;121,49
2020-02-12;BI-00000022;SC Еклер Карамель;SC Еклери;49,00;шт;Підрозділ SHOco (Сахарова);12,00;588,00;127,47
2020-02-12;BI-00000022;SC Еклер Карамель;SC Еклери;49,00;шт;Підрозділ SHOco (Курбаса);10,00;490,00;106,23
2020-02-12;BI-00000022;SC Еклер Карамель;SC Еклери;49,00;шт;Підрозділ SHOco (Кульпарківська);12,00;588,00;233,69
2020-02-12;BI-00000023;SC Еклер Кокос;SC Еклери;45,00;шт;Підрозділ SHOco (Сахарова);6,00;226,27;73,10
2020-02-12;BI-00000023;SC Еклер Кокос;SC Еклери;45,00;шт;Підрозділ SHOco (Курбаса);7,00;315,00;85,28
2020-02-12;BI-00000023;SC Еклер Кокос;SC Еклери;45,00;шт;Підрозділ SHOco (Кульпарківська);2,00;90,00;121,83
2020-02-12;BI-00000027;SC Еклер Фісташка;SC Еклери;49,00;шт;Підрозділ SHOco (Сахарова);12,00;551,99;190,07
2020-02-12;BI-00000027;SC Еклер Фісташка;SC Еклери;49,00;шт;Підрозділ SHOco (Курбаса);14,00;686,00;221,74
2020-02-12;BI-00000027;SC Еклер Фісташка;SC Еклери;49,00;шт;Підрозділ SHOco (Кульпарківська);7,00;343,00;253,41
2020-02-12;BI-00000028;SC Еклер Фундук ;SC Еклери;45,00;шт;Підрозділ SHOco (Сахарова);4,00;159,98;48,56
2020-02-12;BI-00000028;SC Еклер Фундук ;SC Еклери;45,00;шт;Підрозділ SHOco (Курбаса);3,00;135,00;36,42
